	log_likelihood
1272	264.51566
1273	297.6503
1274	290.17584
1275	319.3077
1276	314.1112
1277	277.174
1278	287.79938
1279	285.4486
1280	326.61517
1281	283.6436
1282	313.0407
1283	294.3592
1284	199.52982
1285	286.34564
1286	235.48592
1287	278.45392
1288	249.46045
1289	302.26382
1290	309.24588
1291	231.91931
1292	293.93213
1293	316.36313
1294	283.87616
1295	291.86746
1296	216.3737
1297	306.40167
1298	307.92825
1299	273.37476
1300	252.13887
1301	283.6225
1302	324.08432
1303	310.86743
1304	305.05762
1305	265.21393
1306	301.75104
1307	303.47534
1308	307.48984
1309	305.79047
1310	313.92023
1311	285.68378
1312	267.40915
1313	261.58258
1314	267.83575
1315	209.69482
1316	284.55283
1317	284.93646
1318	307.84402
1319	302.28403
1320	269.55835
1321	313.50375
1322	295.81696
1323	326.11395
1324	247.48038
1325	285.92896
1326	-10.888074
1327	218.74744
1328	296.14166
1329	289.13885
1330	301.8311
1331	275.6751
1332	316.7743
1333	305.91568
1334	288.7564
1335	253.63467
1336	318.16052
1337	254.9509
1338	328.96786
1339	254.57954
1340	310.50348
1341	296.73663
1342	284.33307
1343	320.29498
1344	237.74619
1345	280.39877
1346	304.2728
1347	280.82828
1348	325.0462
1349	304.90308
1350	265.7442
1351	311.50385
1352	302.6362
1353	311.3994
1354	319.68134
1355	321.2787
1356	209.58965
1357	190.65317
1358	312.00043
1359	300.31158
1360	317.59268
1361	306.4983
1362	267.41333
1363	233.14157
1364	277.64746
1365	312.0788
1366	306.25674
1367	176.84323
1368	225.7294
1369	307.61487
1370	322.31622
1371	325.2652
1372	311.52005
1373	285.88608
1374	302.24734
1375	244.91956
1376	245.69751
1377	293.65717
1378	291.7397
1379	315.9656
1380	317.8299
1381	303.57413
1382	318.0946
1383	285.80792
1384	303.62115
1385	316.52423
1386	321.34045
1387	288.33698
1388	263.96936
1389	202.60757
1390	173.35184
1391	323.47208
1392	294.94702
1393	277.94073
1394	306.71448
1395	258.7386
1396	301.73737
1397	255.87619
1398	298.87946
1399	306.33176
1400	159.7421
1401	319.4736
1402	255.3623
1403	290.67487
1404	305.43185
1405	310.2576
1406	309.73065
1407	254.6982
1408	310.59497
1409	306.12158
1410	318.46426
1411	132.40475
1412	267.20438
1413	310.59164
1414	316.90582
1415	307.77307
1416	256.45215
1417	280.3894
1418	320.63394
1419	212.30603
1420	254.16788
1421	322.5642
1422	302.10464
1423	290.55942
1424	289.99237
1425	266.09216
1426	299.6574
1427	281.50336
1428	264.7332
1429	257.05576
1430	307.9291
1431	131.66862
1432	290.4409
1433	240.29129
1434	240.30176
1435	309.8515
1436	298.07855
1437	205.82437
1438	175.05322
1439	304.39517
1440	252.93208
1441	315.4035
1442	258.23724
1443	298.85822
1444	199.33228
1445	289.92874
1446	283.1701
1447	187.65488
1448	279.79092
1449	308.60004
1450	246.3877
1451	286.22092
1452	304.1302
1453	249.31091
1454	244.32962
1455	173.92331
1456	287.3477
1457	259.20465
1458	318.00748
1459	327.69638
1460	281.143
1461	296.828
1462	216.09518
1463	286.40668
1464	272.53424
1465	306.0246
1466	167.34065
1467	280.3588
1468	251.86697
1469	280.7624
1470	299.1645
1471	314.75922
1472	326.0562
1473	220.86755
1474	288.91833
1475	307.70615
1476	243.39673
1477	282.72507
1478	227.06238
1479	309.2873
1480	296.17618
1481	154.07202
1482	156.19339
1483	271.4407
1484	287.95874
1485	300.45956
1486	312.64148
1487	282.81268
1488	276.3874
1489	307.73883
1490	292.23938
1491	294.07745
1492	300.62543
1493	227.7441
1494	234.96924
1495	227.94975
1496	268.71674
1497	264.26926
1498	305.9568
1499	253.93689
1500	303.20688
1501	278.061
1502	303.49615
1503	291.07693
1504	332.5297
1505	325.09473
1506	317.1834
1507	310.1572
1508	277.84305
1509	317.9452
1510	264.86945
1511	264.05536
1512	224.91472
1513	319.1548
1514	234.35709
1515	291.31656
1516	305.67123
1517	300.80276
1518	287.26288
1519	291.77792
1520	321.5497
1521	290.52304
1522	304.55283
1523	265.76138
1524	314.6623
1525	207.69571
1526	175.31229
1527	310.31793
1528	278.52182
1529	273.09845
1530	253.8339
1531	267.66983
1532	237.5615
1533	300.85178
1534	281.2881
1535	269.57126
1536	283.0248
1537	297.3089
1538	278.378
1539	318.17032
1540	280.55148
1541	293.46588
1542	305.47345
1543	154.13574
1544	273.2077
1545	262.8038
1546	219.45102
1547	246.90689
1548	304.49326
1549	323.4217
1550	303.23926
1551	318.42847
1552	314.1268
1553	316.39584
1554	277.95062
1555	265.51373
1556	324.34824
1557	294.59122
1558	227.03096
1559	304.67822
1560	314.21426
1561	283.99005
1562	263.6558
1563	248.11789
1564	220.52762
1565	290.04434
1566	299.16058
1567	313.53836
1568	299.98798
1569	272.71893
1570	227.61462
1571	293.0019
1572	304.43835
1573	265.9533
1574	295.4134
1575	303.33624
1576	277.72394
1577	299.37448
1578	257.76202
1579	293.63193
1580	304.51352
1581	306.75482
1582	213.75261
1583	329.88647
1584	296.5439
1585	315.98526
1586	197.32141
1587	314.68173
1588	284.8477
1589	318.8147
1590	230.36162
1591	316.07907
1592	257.7233
1593	272.75507
1594	291.63336
1595	304.6447
1596	321.59445
1597	281.07465
1598	165.58694
1599	299.3543
1600	305.80225
1601	295.13885
1602	247.7474
1603	306.65454
1604	300.57156
1605	287.44177
1606	294.6729
1607	267.04532
1608	185.42209
1609	295.90277
1610	308.81848
1611	298.18988
1612	136.40663
1613	317.8702
1614	277.47495
1615	297.44934
1616	307.65198
1617	267.21432
1618	324.30447
1619	282.75018
1620	252.8138
1621	287.72687
1622	332.35245
1623	278.23123
1624	267.4139
1625	317.45792
1626	259.9253
1627	311.50714
1628	339.60565
1629	230.3407
1630	307.62677
1631	262.92877
1632	225.6755
1633	287.70837
1634	289.16925
1635	311.93973
1636	305.83252
1637	277.45343
1638	267.58282
1639	305.32013
1640	262.04434
1641	271.5998
1642	281.59464
1643	244.8628
1644	304.59106
1645	260.50983
1646	296.52014
1647	325.98242
1648	294.47916
1649	303.82388
1650	284.1737
1651	246.72647
1652	325.9662
1653	248.42986
1654	283.1881
1655	236.64127
1656	309.60425
1657	280.30853
1658	323.2068
1659	260.96124
1660	286.2188
1661	290.56
1662	279.63272
1663	319.16705
1664	330.34854
1665	235.86142
1666	289.91205
1667	268.92456
1668	279.03812
1669	317.39868
1670	302.73438
1671	263.7768
1672	311.8686
1673	276.08197
1674	315.51962
1675	290.96198
1676	274.12012
1677	267.52472
1678	309.62314
1679	227.04019
1680	264.71353
1681	306.26752
1682	146.1188
1683	289.1514
1684	168.02785
1685	312.18805
1686	320.50482
1687	261.7206
1688	310.08658
1689	114.9937
1690	114.920204
1691	313.85733
1692	48.02903
1693	325.33923
1694	307.6014
1695	288.26416
1696	309.28793
1697	271.37476
1698	192.85197
1699	292.6899
1700	265.19366
1701	261.1693
1702	261.5334
1703	318.11475
1704	258.0724
1705	238.53696
1706	314.99878
1707	289.97488
1708	224.50632
1709	265.5762
1710	327.6479
1711	281.16962
1712	285.8882
1713	286.24268
1714	280.65524
1715	268.55704
1716	92.97926
1717	270.10284
1718	315.7337
1719	262.49805
1720	232.771
1721	242.65768
1722	284.47272
1723	316.2883
1724	319.14777
1725	318.94263
1726	231.67534
1727	300.18292
1728	317.09775
1729	310.99503
1730	233.96436
1731	305.0908
1732	308.19107
1733	253.84668
1734	298.10895
1735	263.01666
1736	298.0535
1737	313.60675
1738	269.75308
1739	266.71136
1740	324.80133
1741	274.06305
1742	296.82684
1743	278.21774
1744	305.29733
1745	292.56137
1746	254.75931
1747	306.56918
1748	288.1991
1749	243.18877
1750	297.38773
1751	317.70154
1752	326.2046
1753	218.75081
1754	152.75986
1755	225.49011
1756	320.34772
1757	295.83145
1758	302.09683
1759	303.39145
1760	219.05957
1761	317.30606
1762	327.0613
1763	300.6708
1764	279.6585
1765	280.69397
1766	179.73933
1767	293.58942
1768	295.45242
1769	300.34344
1770	237.93726
1771	318.89252
1772	203.93506
1773	297.63596
1774	322.95105
1775	275.82175
1776	291.99033
1777	273.601
1778	261.1591
