	z_coordinate_0	z_coordinate_1
520	-2.840095	-13.627621
521	-1.9661362	-5.043564
522	-1.157929	1.7828803
523	-2.2836215	1.7373233
524	10.264178	-2.9313304
525	10.828076	-2.2792726
526	-1.2529163	1.9239149
527	4.915083	-10.0476675
528	-1.5614407	1.7967286
529	0.66131586	-1.6672163
530	-1.2127378	2.7210522
531	4.920666	-9.439818
532	-1.2634314	0.67642605
533	11.04226	-3.042594
534	-1.4834235	-12.938636
535	-5.8951674	-13.390227
536	-3.181794	2.564009
537	6.068063	11.623409
538	-1.1781311	0.01814197
539	-1.7544291	0.678149
540	5.369404	-9.995228
541	-0.18433005	2.256765
542	-1.6396735	0.5864936
543	3.658043	12.425162
544	-1.2919693	0.79321563
545	6.21802	10.974309
546	-1.8651876	-4.9279456
547	5.117848	9.928162
548	-1.3720006	2.2103884
549	-1.5823855	0.66065955
550	4.726329	11.31297
551	0.05881232	2.03544
552	-1.133613	1.946043
553	-1.0868378	0.78951347
554	-8.682495	-8.261317
555	-3.657158	0.24574533
556	-1.6229341	0.32909212
557	-1.5451657	0.92764044
558	-2.6093354	-0.5377536
559	5.6988235	10.809599
560	-1.1313426	0.37350258
561	5.5256143	11.292049
562	3.8711886	-9.634053
563	-1.9927227	0.2313424
564	5.029493	-10.228139
565	-2.604145	1.4004221
566	-1.2488678	1.1365504
567	-1.076338	0.73894477
568	-1.4025435	0.82973087
569	5.6603	11.649029
570	-1.2135072	0.8615948
571	-1.6099548	0.8433808
572	5.357109	-9.851051
573	-1.7288644	1.3733993
574	10.949872	-2.8543131
575	4.727911	-8.004825
576	4.5147977	11.996896
577	-2.0564337	2.5902746
578	4.694029	-9.885312
579	-6.200097	-2.9871824
580	4.9456806	-10.12197
581	-10.614968	-4.3629713
582	-2.1519046	-3.7136626
583	-1.6037605	0.8302479
584	-2.0670185	-5.150492
585	0.14097798	0.54552555
586	-1.6646416	-1.4817247
587	5.389578	-10.098204
588	5.355035	-9.962758
589	-1.828078	-4.8978076
590	-1.0160253	0.60393584
591	-0.5541728	1.4500887
592	-1.5688393	1.3993316
593	-1.8043425	-11.9143505
594	-1.3882222	-4.625074
595	-2.000772	-12.343858
596	-1.275013	1.399364
597	10.457353	-2.3805714
598	-0.5354583	2.3901777
599	-1.878272	1.7925706
600	0.38328648	-8.398823
601	-8.108206	-8.388296
602	-1.4712117	0.8668612
603	10.933705	-2.4769814
604	10.63079	-2.5717504
605	-1.429031	1.4255278
606	10.580424	1.9364238
607	-0.6087822	3.103506
608	-5.933377	-3.2540278
609	-1.1535826	2.0795116
610	-1.7225966	2.4887645
611	-1.2068179	0.7887169
612	0.7450487	-5.989987
613	5.3079348	11.950976
614	-1.5234222	-0.23160446
615	-1.1079655	1.1019912
616	9.954925	-3.0767157
617	-8.000404	-9.0130415
618	-1.8672247	0.44969776
619	-2.1345205	-5.1628857
620	-1.521574	2.284226
621	-1.9961574	-4.927332
622	-1.9746194	-4.748389
623	-1.53588	1.4192401
624	-6.227094	-3.2042177
625	-1.2869842	1.1581352
626	-1.5589502	1.0147629
